compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
|EN×A|,EN×A,,NESTED_IN_LONGER_FORM,,EZEN×A; EZEN×A+LAL2; EZEN×A+LAL; EZEN×AN,adx(en)-'u4
|EN×IGI@g.NUN.EZEN×KASKAL|,EN×IGI@g.NUN.EZEN×KASKAL,,NO_ATTESTED_READING,,,
|EN×IGI@g.NUN.ME.EZEN×KASKAL|,EN×IGI@g.NUN.ME.EZEN×KASKAL,,NO_ATTESTED_READING,,,
|EN×IGI@g|,EN×IGI@g,,NESTED_IN_LONGER_FORM,,EZEN×IGI@g,adx(en)-agar4
|EN×KUR|,EN×KUR,,NO_ATTESTED_READING,,,adx(en)-amma
|EN×MAŠ.KAK|,EN×MAŠ.KAK,,NO_ATTESTED_READING,,,
|EN×MAŠ|,EN×MAŠ,,NO_ATTESTED_READING,,,adx(en)-ba7
|EN×ME.GI|,EN×ME.GI,ENGIZ2|EN×ME.GI|engiz2,ATTESTED_DIRECT,SYLLABARY_CM,,enme-ešša3
|EN×ME.GI₄|,EN×ME.GI4,engiz₂,ATTESTED_DIRECT,OSL,,enme-ga8
|EN×ME.LI|,EN×ME.LI,,NO_ATTESTED_READING,,,enme-en3
|EN×ME.MU|,EN×ME.MU,,NO_ATTESTED_READING,,,enme-gu10
|EN×U|,EN×U,,NESTED_IN_LONGER_FORM,,EZEN×UD; EZEN×U2; EZEN×UŠ2,adx(en)-1u
|EREN.ŠU.ME|,EREN.ŠU.ME,šurmenₓ,ATTESTED_DIRECT,OSL,,eren-kat7-ba13
|EREN×KASKAL|,EREN×KASKAL,,NO_ATTESTED_READING,,,eren-bu2
|ERIN₂.A|,ERIN2.A,uriₓ,ATTESTED_DIRECT,OSL,,bir3-'u4
|ERIN₂.KAB|,ERIN2.KAB,emerahₓ,ATTESTED_DIRECT,OSL,,bir3-gab2
|ERIN₂.NA|,ERIN2.NA,urume,ATTESTED_DIRECT,OSL,,bir3-aniku
|ERIN₂.NUN.NA|,ERIN2.NUN.NA,surungalₓ,ATTESTED_DIRECT,OSL,,bir3-...ri-aniku
|ERIN₂.UD|,ERIN2.UD,,NO_ATTESTED_READING,,,bir3-a12
|EZEN.AN|,EZEN.AN,,NO_ATTESTED_READING,,,asilalx(ezen)-/dimer/
|EZEN×AŠ|,EZEN×AŠ,,NO_ATTESTED_READING,,,asilalx(ezen)-asilalx(ezen)-1aš-1aš
|EZEN×BAD.AN|,EZEN×BAD.AN,derₓ|%akk/n dūru,ATTESTED_DIRECT,OSL,,anx(-/dimer/
|EZEN×BAD.GAL.AN|,EZEN×BAD.GAL.AN,derₓ,ATTESTED_DIRECT,OSL,,anx(-gal-/dimer/
|EZEN×BAD.SI.AB.BA|,EZEN×BAD.SI.AB.BA,barsip,ATTESTED_DIRECT,OSL,,anx(-hux(si)-ab-ba
|EZEN×DUN₃|,EZEN×DUN3,udnimₓ,ATTESTED_DIRECT,OSL,,asilalx(ezen)-du5
|EZEN×GAN₂@t|,EZEN×GAN2@t,,NO_ATTESTED_READING,,,asilalx(ezen)-gan2@t
|EZEN×HAL|,EZEN×HAL,ubₓ|ugₓ,ATTESTED_DIRECT,OSL,,asilalx(ezen)-buluh
|EZEN×KUR|,EZEN×KUR,,NO_ATTESTED_READING,,,asilalx(ezen)-amma
|EZEN×U@c|,EZEN×U@c,badₓ,ATTESTED_DIRECT,OSL,,asilalx(ezen)-1u
|EZEN×X.KI|,EZEN×X.KI,,NO_ATTESTED_READING,,,
|EZEN×ŠID|,EZEN×ŠID,asilaₓ|asilalₓ,ATTESTED_DIRECT,OSL,,asilalx(ezen)-ag3
|EŠ₂%EŠ₂.NUN.A|,EŠ2%EŠ2.NUN.A,,NO_ATTESTED_READING,,,
|EŠ₂.BU.EŠ₂.NUN.EŠ₂.TU|,EŠ2.BU.EŠ2.NUN.EŠ2.TU,,NO_ATTESTED_READING,,,ege-bu-ege-...ri-ege-du2
|EŠ₂.BU.NUN.EŠ₂.TU|,EŠ2.BU.NUN.EŠ2.TU,saman₂|samanurₓ,ATTESTED_DIRECT,OSL,,ege-bu-...ri-ege-du2
|EŠ₂.HUL₂|,EŠ2.HUL2,ešemen₃|ešemin₃,ATTESTED_DIRECT,OSL,,ege-bibra
|EŠ₂.KA|,EŠ2.KA,sura₁₃|surra₁₃|zir₂,ATTESTED_DIRECT,OSL,,ege-/eneĝ/
|EŠ₂.MAH|,EŠ2.MAH,ebih₂,ATTESTED_DIRECT,OSL,,ege-al6
|EŠ₂.NUN.BU.ŠE|,EŠ2.NUN.BU.ŠE,,NO_ATTESTED_READING,,,ege-...ri-bu-ašnan2
|EŠ₂.NUN.BU|,EŠ2.NUN.BU,,NESTED_IN_LONGER_FORM,,ŠE.EŠ2.NUN.BU,ege-...ri-bu
|EŠ₂.PAP.PAP|,EŠ2.PAP.PAP,še₃-munu₄,ATTESTED_DIRECT,OSL,,ege-aha3-aha3
|EŠ₂.SUD.EŠ₂.TU|,EŠ2.SUD.EŠ2.TU,samanₓ,ATTESTED_DIRECT,OSL,,ege-sar4-ege-du2
|EŠ₂.SUD.NUN.TU.EŠ₂|,EŠ2.SUD.NUN.TU.EŠ2,samanₓ,ATTESTED_DIRECT,OSL,,ege-sar4-...ri-du2-ege
|EŠ₂.SUD.NUN|,EŠ2.SUD.NUN,samanₓ,ATTESTED_DIRECT,OSL,,ege-sar4-...ri
|EŠ₂.SUD.UD.NUN.EŠ₂.TU|,EŠ2.SUD.UD.NUN.EŠ2.TU,,NO_ATTESTED_READING,,,ege-sar4-a12-...ri-ege-du2
|EŠ₂.TU.BU|,EŠ2.TU.BU,samanₓ,ATTESTED_DIRECT,OSL,,ege-du2-bu
|EŠ₂.UD|,EŠ2.UD,zi₃-kum₄|zikumₓ,ATTESTED_DIRECT,OSL,,ege-a12
|EŠ₂.ŠE|,EŠ2.ŠE,dabin,ATTESTED_DIRECT,OSL,,ege-ašnan2
|EŠ₂@t.GIR₂@g|,EŠ2@t.GIR2@g,EŠ2@t.GIR2@g,ATTESTED_DIRECT,SYLLABARY_CM,,
|EŠ₂×GAD|,EŠ2×GAD,,NO_ATTESTED_READING,,,ege-gad
|E₂.AN.ŠE.NAGA|,E2.AN.ŠE.NAGA,xingaraₓ,ATTESTED_DIRECT,OSL,,'a3-/dimer/-ašnan2-ereš2
|E₂.A|,E2.A,eʾi|eʾu|eduruₓ,ATTESTED_DIRECT,OSL,,'a3-'u4
|E₂.BALAG|,E2.BALAG,,NO_ATTESTED_READING,,,'a3-balag
|E₂.BAR|,E2.BAR,saŋŋaₓ,ATTESTED_DIRECT,OSL,,'a3-ba15
|E₂.GI.NA.AB.HI|,E2.GI.NA.AB.HI,šutumₓ,ATTESTED_DIRECT,OSL,,'a3-ešša3-aniku-ab-'i3
|E₂.GI.NA.AB.TUM|,E2.GI.NA.AB.TUM,šutumₓ,ATTESTED_DIRECT,OSL,,'a3-ešša3-aniku-ab-dam3
|E₂.GI.NA.AB.U.GUD|,E2.GI.NA.AB.U.GUD,šutumₓ,ATTESTED_DIRECT,OSL,,'a3-ešša3-aniku-ab-du₇
|E₂.GI.NA.TUM|,E2.GI.NA.TUM,šutumₓ,ATTESTED_DIRECT,OSL,,'a3-ešša3-aniku-dam3
|E₂.GIŠ.TUG₂.PI.AN.ŠE.NAGA|,E2.GIŠ.TUG2.PI.AN.ŠE.NAGA,xingaraₓ,ATTESTED_DIRECT,OSL,,'a3-es-azalag2-a3-/dimer/-ašnan2-ereš2
|E₂.KI.SUM.GA|,E2.KI.SUM.GA,eurre|xlaₓ,ATTESTED_DIRECT,OSL,,'a3-ammax(ki)-/zeĝ/-ebir4
|E₂.LU₂×GAN₂@t.A|,E2.LU2×GAN2@t.A,xennuₓ,ATTESTED_DIRECT,OSL,,'a3-heš5-'u4
|E₂.MI|,E2.MI,itimaₓ,ATTESTED_DIRECT,OSL,,'a3-dugud2
|E₂.PAP.GAŠAN.DIŠ|,E2.PAP.GAŠAN.DIŠ,,NO_ATTESTED_READING,,,'a3-aha3-gašan-anₓ
|E₂.SAL|,E2.SAL,amaₓ|ameₓ,ATTESTED_DIRECT,OSL,,'a3-f
|E₂.SIG₄|,E2.SIG4,egar|eŋar|igar|ingar,ATTESTED_DIRECT,OSL,,'a3-bar5
|E₂.UŠ.BU.DA|,E2.UŠ.BU.DA,arah₄|araha|ašlug,ATTESTED_DIRECT,OSL,,'a3-geš3-bu-ax(da)
|E₂.ŠA₃|,E2.ŠA3,arhušₓ,ATTESTED_DIRECT,OSL,,'a3-didala
|E₂.ŠE|,E2.ŠE,asaŋ|esagₓ|esaŋₓ,ATTESTED_DIRECT,OSL,,'a3-ašnan2
|E₂×AŠ@t|,E2×AŠ@t,dagₓ|gukkalₓ,ATTESTED_DIRECT,OSL,,'a3-1(aš@t)
|E₂×BAD|,E2×BAD,baragₓ?|dagₓ?|gidaₓ?,ATTESTED_DIRECT,OSL,,'a3-ba9
|E₂×GAN₂|,E2×GAN2,,NO_ATTESTED_READING,,,'a3-al3
|E₂×MIN|,E2×MIN,,NO_ATTESTED_READING,,,'a3-menx(min)
|E₂×ŠA₃|,E2×ŠA3,arhušₓ,ATTESTED_DIRECT,OSL,,'a3-didala
|GA.A|,GA.A,gar₁₁|gara₁₁,ATTESTED_DIRECT,OSL,,ebir4-'u4
|GA.BALAG|,GA.BALAG,saŋa₇|saŋŋa₇|sanga₇,ATTESTED_DIRECT,OSL,,ebir4-balag
|GA.DIŠ|,GA.DIŠ,gar₁₂,ATTESTED_DIRECT,OSL,,ebir4-anₓ
|GA.DUB₂|,GA.DUB2,GA.DUB2,ATTESTED_DIRECT,SYLLABARY_CM,,ebir4-dim5
|GA.GA|,GA.GA,garₓ,ATTESTED_DIRECT,OSL,,ebir4-ebir4
|GA.HI×AŠ₂.BUR|,GA.HI×AŠ2.BUR,,NO_ATTESTED_READING,,,ebir4-ar3-bur
|GA.HI×AŠ₂.GAŠAN.DIŠ|,GA.HI×AŠ2.GAŠAN.DIŠ,,NO_ATTESTED_READING,,,ebir4-ar3-gašan-anₓ
|GA.KAD₃|,GA.KAD3,pešₓ,ATTESTED_DIRECT,OSL,,ebir4-gat3
|GA.KASKAL.KAL.NE|,GA.KASKAL.KAL.NE,GA.KASKAL.KAL.NE,ATTESTED_DIRECT,SYLLABARY_CM,,ebir4-bu2-alad2-bar7
|GA.KASKAL|,GA.KASKAL,gaeš|gaiš|garaₓ|garaš₃,ATTESTED_DIRECT,OSL,,ebir4-bu2
|GA.KA×GU.SAR|,GA.KA×GU.SAR,,NO_ATTESTED_READING,,,ebir4-gurum3-kiri6
|GA.LAGAB|,GA.LAGAB,kisim₆,ATTESTED_DIRECT,OSL,,ebir4-ella2
|GA.MA₂.DUB₂|,GA.MA2.DUB2,GA.MA2.DUB2,ATTESTED_DIRECT,SYLLABARY_CM,,ebir4-hux(ma2)-dim5
|GA.MA₂.IGI@g|,GA.MA2.IGI@g,sagga₆|saŋa₆|saŋŋa₆|sanga₆|sangu₆,ATTESTED_DIRECT,OSL,,ebir4-hux(ma2)-agar4
|GA.MA₂.KASKAL.IGI@g|,GA.MA2.KASKAL.IGI@g,GA.MA2.KASKAL.IGI@g,ATTESTED_DIRECT,SYLLABARY_CM,,ebir4-hux(ma2)-bu2-agar4
|GA.NAGA|,GA.NAGA,uga,ATTESTED_DIRECT,OSL,,ebir4-ereš2
|GA.NI|,GA.NI,gar₁₀|gara₁₀,ATTESTED_DIRECT,OSL,,ebir4-be3
|GA.PAP.U@g.DIŠ|,GA.PAP.U@g.DIŠ,,NO_ATTESTED_READING,,,ebir4-aha3-burʾu-anₓ
|GA.UZ₃.HI|,GA.UZ3.HI,saŋaₓ|sangaₓ,ATTESTED_DIRECT,OSL,,ebir4-surx(uz3)-'i3
|GA.UZ₃.IGI@g|,GA.UZ3.IGI@g,sagga₅|saŋa₅|saŋŋa₅|sanga₅|sangu₅,ATTESTED_DIRECT,OSL,,ebir4-surx(uz3)-agar4
|GA.UZ₃|,GA.UZ3,saŋaₓ|sangaₓ,ATTESTED_DIRECT,OSL,,ebir4-surx(uz3)
|GABA.LIŠ|,GABA.LIŠ,ASALX(|GABA.LIŠ|)|GABA.LIŠ|asalx(|GABA.LIŠ|),ATTESTED_DIRECT,SYLLABARY_CM,,du8-del₂
|GABA.ŠU.SILA₃|,GABA.ŠU.SILA3,šagia,ATTESTED_DIRECT,OSL,,du8-kat7-ga5
|GAD+DIŠ×A|,GAD+DIŠ×A,šuaₓ,ATTESTED_DIRECT,OSL,,
|GAD+TAK₄.DUH|,GAD+TAK4.DUH,,NO_ATTESTED_READING,,,gad-azad2-du8
|GAD.DUN₃|,GAD.DUN3,xₓ,ATTESTED_DIRECT,OSL,,gad-du5
|GAD.GAR|,GAD.GAR,,NESTED_IN_LONGER_FORM,,(ŠE.NUN&NUN)&(ŠE.NUN&NUN).GAD&GAD.GAR&GAR; GAD&GAD.GAR&GAR; GAL.GAD&GAD.GAR&GAR; ŠE&ŠE.GAD&GAD.GAR&GAR,gad-ga4
|GAD.NAGA|,GAD.NAGA,,NO_ATTESTED_READING,,,gad-ereš2
|GAD.PAD.MUŠ₃|,GAD.PAD.MUŠ3,nidbaₓ,ATTESTED_DIRECT,OSL,,gad-bad2-ennin
|GAD.TAK₄.GIŠ|,GAD.TAK4.GIŠ,gim₈?|seg₈|sig₈|uruaka|uruišdua|uruišduha|urulla|xₓ|xgiₓ,ATTESTED_DIRECT,OSL,,gad-azad2-es
|GAD.TAK₄.SI.A|,GAD.TAK4.SI.A,akkilₓ,ATTESTED_DIRECT,OSL,,gad-azad2-hux(si)-'u4
|GAD.TAK₄.SI|,GAD.TAK4.SI,akkil|talₓ,ATTESTED_DIRECT,OSL,,gad-azad2-hux(si)
|GAD.TAK₄.UR₂|,GAD.TAK4.UR2,,NESTED_IN_LONGER_FORM,,GAR.GAD.TAK4.UR2,gad-azad2-ur2
|GAD.TAK₄|,GAD.TAK4,akkil₃|ašša₂|ašta|kil₄|talₓ,ATTESTED_DIRECT,OSL,,gad-azad2
|GAL.AN.ZU|,GAL.AN.ZU,ereš₅,ATTESTED_DIRECT,OSL,,gal-/dimer/-ka14
|GAL.AŠGAB|,GAL.AŠGAB,ašgabgalₓ,ATTESTED_DIRECT,OSL,,gal-ašgab
|GAL.BAR.EDIN|,GAL.BAR.EDIN,bahargalₓ,ATTESTED_DIRECT,OSL,,gal-ba15-bilx(edin)
|GAL.BUR₂|,GAL.BUR2,ušumgal,ATTESTED_DIRECT,OSL,,gal-bal2
|GAL.DIM|,GAL.DIM,dimgal,ATTESTED_DIRECT,OSL,,gal-di11
|GAL.DIM₂|,GAL.DIM2,šidimgalₓ,ATTESTED_DIRECT,OSL,,gal-/šitlam/
|GAL.DI|,GAL.DI,gal-di|galti,ATTESTED_DIRECT,OSL,,gal-de
|GAL.DUN|,GAL.DUN,ukur₂,ATTESTED_DIRECT,OSL,,gal-du24
|GAL.DUN₃@g@g|,GAL.DUN3@g@g,niŋirgalₓ,ATTESTED_DIRECT,OSL,,gal-aga
|GAL.GAD.GAR|,GAL.GAD.GAR,,NO_ATTESTED_READING,,,gal-gad-ga4
|GAL.GIŠ.TUG₂.TE.A.DU|,GAL.GIŠ.TUG2.TE.A.DU,azlaggalₓ,ATTESTED_DIRECT,OSL,,gal-es-azalag2-de4-'u4-aragub
|GAL.LUH|,GAL.LUH,sukkalgalₓ,ATTESTED_DIRECT,OSL,,gal-huluh
|GAL.MUG@g|,GAL.MUG@g,zadimgalₓ,ATTESTED_DIRECT,OSL,,gal-mug@g
|GAL.NAGAR|,GAL.NAGAR,nagargalₓ,ATTESTED_DIRECT,OSL,,gal-alla
|GAL.NI|,GAL.NI,santan|santana|šandan|šandana,ATTESTED_DIRECT,OSL,,gal-be3
|GAL.TE.LAL|,GAL.TE.LAL,gallagalₓ,ATTESTED_DIRECT,OSL,,gal-de4-la2
|GAL.TE|,GAL.TE,tiru|tirum,ATTESTED_DIRECT,OSL,,gal-de4
|GAL.UMUM|,GAL.UMUM,simuggalₓ,ATTESTED_DIRECT,OSL,,gal-simug
|GAL.URI|,GAL.URI,kindagal₂,ATTESTED_DIRECT,OSL,,gal-ari
|GAL.URU×BAR|,GAL.URU×BAR,kiŋgal|kingal,ATTESTED_DIRECT,OSL,,gal-barimx(
|GAL.ZU|,GAL.ZU,erištiₓ|gagazu?|gal-zu,ATTESTED_DIRECT,OSL,,gal-ka14
|GALAM.GALAM|,GALAM.GALAM,gagalam|gibil₅,ATTESTED_DIRECT,OSL,,galam-galam
|GAM.GAM|,GAM.GAM,ad₄,ATTESTED_DIRECT,OSL,,ar5-ar5
|GAN.SU|,GAN.SU,duganₓ,ATTESTED_DIRECT,OSL,,gam4-guš
|GAN×HI|,GAN×HI,he₂,ATTESTED_DIRECT,OSL,,gam4-'i3
|GAN×KASKAL|,GAN×KASKAL,,NO_ATTESTED_READING,,,gam4-bu2
|GAN₂.BU|,GAN2.BU,mulu₄-bu|šanna,ATTESTED_DIRECT,OSL,,al3-bu
|GAN₂@t&GAN₂@t|,GAN2@t&GAN2@t,,NO_ATTESTED_READING,,,gan2@t-gan2@t
|GAN₂@t.GAN₂@t|,GAN2@t.GAN2@t,gugru,ATTESTED_DIRECT,OSL,,gan2@t-gan2@t
|GAN₂×HI|,GAN2×HI,,NO_ATTESTED_READING,,,al3-'i3
|GAR.GAD.TAK₄.UR₂|,GAR.GAD.TAK4.UR2,nisikiₓ,ATTESTED_DIRECT,OSL,,ga4-gad-azad2-ur2
|GAR.GAR|,GAR.GAR,arkabₓ,ATTESTED_DIRECT,OSL,,ga4-ga4
|GAR.GA₂×(A.IGI)|,GAR.GA2×(A.IGI),gapi?,ATTESTED_DIRECT,OSL,,ga4-alimx(
|GAR.GU.SUR.NUN|,GAR.GU.SUR.NUN,GAR.GU.SUR.NUN,ATTESTED_DIRECT,SYLLABARY_CM,,ga4-gu-sur-...ri
|GAR.GUL.DA|,GAR.GUL.DA,gugₓ,ATTESTED_DIRECT,OSL,,ga4-gul-ax(da)
|GAR.IB|,GAR.IB,argab|arkab|irkab,ATTESTED_DIRECT,OSL,,ga4-arkabx(ib)
|GAR.KINGUSILI.SILA₃|,GAR.KINGUSILI.SILA3,gideštaₓ?,ATTESTED_DIRECT,OSL,,ga4-kingusila-ga5
|GAR.LAGAB|,GAR.LAGAB,kibsur|kibšur,ATTESTED_DIRECT,OSL,,ga4-ella2
|GAR.LU₃|,GAR.LU3,gug₃|gugina,ATTESTED_DIRECT,OSL,,ga4-gadx(lu3)
|GAR.PA.TE.SI|,GAR.PA.TE.SI,ensiₓ,ATTESTED_DIRECT,OSL,,ga4-addirx(pa)-de4-hux(si)
|GAR.SAG.IL₂.EZEN.SAL|,GAR.SAG.IL2.EZEN.SAL,balla₂,ATTESTED_DIRECT,OSL,,ga4-dul7-dupsik-asilalx(ezen)-f
|GAR.SAG.IL₂.EZEN.UŠ|,GAR.SAG.IL2.EZEN.UŠ,balla,ATTESTED_DIRECT,OSL,,ga4-dul7-dupsik-asilalx(ezen)-geš3
|GAR.SAG.KEŠ₂.SAL|,GAR.SAG.KEŠ2.SAL,ballaₓ,ATTESTED_DIRECT,OSL,,ga4-dul7-gir11-f
|GAR.SAG.LAL.SAL|,GAR.SAG.LAL.SAL,ballaₓ,ATTESTED_DIRECT,OSL,,ga4-dul7-la2-f
|GAR.SAG.SAL.LAL|,GAR.SAG.SAL.LAL,ballaₓ,ATTESTED_DIRECT,OSL,,ga4-dul7-f-la2
|GAR.SAL.LAL.SAG|,GAR.SAL.LAL.SAG,ballaₓ,ATTESTED_DIRECT,OSL,,ga4-f-la2-dul7
|GAR.SAL.SAG.LAL|,GAR.SAL.SAG.LAL,ballaₓ,ATTESTED_DIRECT,OSL,,ga4-f-dul7-la2
|GAR.TUG₂|,GAR.TUG2,šudulₓ,ATTESTED_DIRECT,OSL,,ga4-azalag2
|GAR.ŠANABI.SILA₃|,GAR.ŠANABI.SILA3,gideštaₓ?,ATTESTED_DIRECT,OSL,,ga4-šanaba-ga5
|GAR.ŠA₃.A|,GAR.ŠA3.A,kadra|kadri|kadru,ATTESTED_DIRECT,OSL,,ga4-didala-'u4
|GAR.ŠA₃|,GAR.ŠA3,kadra₂?,ATTESTED_DIRECT,OSL,,ga4-didala
|GAR.ŠA₃×A|,GAR.ŠA3×A,kadra₃|kadri₃|kadru₃,ATTESTED_DIRECT,OSL,,ga4-ber7
|GAR.ŠID|,GAR.ŠID,saŋŋaₓ|sangaₓ|uttuku|utugₓ|utuqₓ|uṭuku,ATTESTED_DIRECT,OSL,,ga4-ag3
|GAR.ŠU.DUGUD|,GAR.ŠU.DUGUD,immal₃,ATTESTED_DIRECT,OSL,,ga4-kat7-dugud
|GAR.ŠU.TUR.LAL|,GAR.ŠU.TUR.LAL,,NO_ATTESTED_READING,,,ga4-kat7-ban3-la2
|GAR.ŠU.TUR|,GAR.ŠU.TUR,tukumₓ,ATTESTED_DIRECT,OSL,,ga4-kat7-ban3
|GAR.ŠUŠANA.SILA₃|,GAR.ŠUŠANA.SILA3,gidešta?,ATTESTED_DIRECT,OSL,,ga4-igišŋalₓ-ga5
|GAR×SAL|,GAR×SAL,pešₓ,ATTESTED_DIRECT,OSL,,ga4-f
|GA×SILA₃|,GA×SILA3,,NO_ATTESTED_READING,,,ebir4-ga5
|GA₂.SILA₃|,GA2.SILA3,šitaₓ,ATTESTED_DIRECT,OSL,,alba-ga5
|GA₂×AN.A.TU|,GA2×AN.A.TU,amedu|eme₄-e₄-du₂|emedu₂,ATTESTED_DIRECT,OSL,,/damal/-'u4-du2
|GA₂×AN.AN.MUŠ₃|,GA2×AN.AN.MUŠ3,agarim|amalu|amarim?,ATTESTED_DIRECT,OSL,,/damal/-/dimer/-ennin
|GA₂×AN.DUN₃|,GA2×AN.DUN3,,NESTED_IN_LONGER_FORM,,GA2×AN.DUN3@g,/damal/-du5
|GA₂×AN.GAN.KAK|,GA2×AN.GAN.KAK,,NO_ATTESTED_READING,,,/damal/-gam4-ban4
|GA₂×AN.GAN|,GA2×AN.GAN,ama-gan,ATTESTED_DIRECT,DIRI,,/damal/-gam4
|GA₂×AN.LUL|,GA2×AN.LUL,amalug?|malug?,ATTESTED_DIRECT,OSL,,/damal/-bah3
|GA₂×AN.MUŠ₃|,GA2×AN.MUŠ3,amaluₓ,ATTESTED_DIRECT,OSL,,/damal/-ennin
|GA₂×AN.TU|,GA2×AN.TU,eme₄-du₂|emedu|emedudₓ,ATTESTED_DIRECT,OSL,,/damal/-du2
|GA₂×AN.X|,GA2×AN.X,kaxₓ,ATTESTED_DIRECT,OSL,,
|GA₂×AN.ŠIM|,GA2×AN.ŠIM,agarin₄|aŋarin₄,ATTESTED_DIRECT,OSL,,/damal/-asila2
|GA₂×AN.ŠIM×GAR|,GA2×AN.ŠIM×GAR,agarin₅|aŋarin₅|garinₓ,ATTESTED_DIRECT,OSL,,/damal/-bappir
|GA₂×A|,GA2×A,,NESTED_IN_LONGER_FORM,,GA2×AN; GA2×AN.AN.MUŠ3; GA2×AN.DUN3@g; GA2×AN.ŠIM; GA2×AN.ŠIM×GAR,alba-'u4
|GA₂×BUR.ME|,GA2×BUR.ME,gaburaₓ|ŋaburra,ATTESTED_DIRECT,OSL,,ga2×bur-ba13
|GA₂×BU|,GA2×BU,,NESTED_IN_LONGER_FORM,,GA2×BUR; GA2×BUR+RA,alba-bu
|GA₂×DIM|,GA2×DIM,,NESTED_IN_LONGER_FORM,,GA2×DIM×ŠE,alba-di11
|GA₂×EN.NUN|,GA2×EN.NUN,ŋanunₓ,ATTESTED_DIRECT,OSL,,ga2×en-...ri
|GA₂×ERIN₂|,GA2×ERIN2,,NO_ATTESTED_READING,,,alba-bir3
|GA₂×GAM|,GA2×GAM,ginₓ,ATTESTED_DIRECT,OSL,,alba-ar5
|GA₂×GAR.ME|,GA2×GAR.ME,,NO_ATTESTED_READING,,,egara-ba13
|GA₂×GIŠ|,GA2×GIŠ,,NO_ATTESTED_READING,,,alba-es
|GA₂×GUD|,GA2×GUD,,NO_ATTESTED_READING,,,alba-alap
|GA₂×HA.A|,GA2×HA.A,,NO_ATTESTED_READING,,,
|GA₂×HA|,GA2×HA,,NESTED_IN_LONGER_FORM,,GA2×HAL+LA; GA2×HA+LU+EŠ2; GA2×HAL,alba-'a4
|GA₂×IGI@g|,GA2×IGI@g,bara₁₀|gaga|galgaₓ|sabad₃|sad₄,ATTESTED_DIRECT,OGSL,,alba-agar4
|GA₂×IL₂|,GA2×IL2,,NO_ATTESTED_READING,,,alba-dupsik
|GA₂×KU|,GA2×KU,,NESTED_IN_LONGER_FORM,,GA2×KU3+AN,alba-be5
|GA₂×LI|,GA2×LI,,NO_ATTESTED_READING,,,alba-en3
|GA₂×ME|,GA2×ME,,NESTED_IN_LONGER_FORM,,GA2×ME+EN,alba-ba13
|GA₂×NU|,GA2×NU,,NESTED_IN_LONGER_FORM,,E.TUM.GA2×NUN&NUN; GA2×NUN; GA2×NUN&NUN,alba-la3
|GA₂×SANGA₂|,GA2×SANGA2,šangaₓ,ATTESTED_DIRECT,OSL,,alba-sanga2
|GA₂×SILA₃|,GA2×SILA3,,NO_ATTESTED_READING,,,alba-ga5
|GA₂×TE|,GA2×TE,,NO_ATTESTED_READING,,,alba-de4
|GA₂×TUR|,GA2×TUR,urₓ,ATTESTED_DIRECT,OSL,,alba-ban3
|GA₂×U₂|,GA2×U2,,NO_ATTESTED_READING,,,alba-ba6
|GA₂×ŠU|,GA2×ŠU,,NO_ATTESTED_READING,,,alba-kat7
|GA₂×ŠU₂|,GA2×ŠU2,,NO_ATTESTED_READING,,,alba-ešša2
|GI&GI|,GI&GI,,NESTED_IN_LONGER_FORM,,|GI&GI|; |GI&GI&GI|; |(GI&GI)xGIŠ@t|; |(GI&GI)xX|,ešša3-ešša3
|GI.NA.AB.TUM|,GI.NA.AB.TUM,šutum₂,ATTESTED_DIRECT,OSL,,ešša3-aniku-ab-dam3
|GI.NE|,GI.NE,,NO_ATTESTED_READING,,,ešša3-bar7
|GI.ŠA₃.GI|,GI.ŠA3.GI,pugluₓ,ATTESTED_DIRECT,OSL,,ešša3-didala-ešša3
|GIR₂@g×EŠ₂|,GIR2@g×EŠ2,,NO_ATTESTED_READING,,,ad2-ege
|GIR₂×AŠGAB|,GIR2×AŠGAB,,NO_ATTESTED_READING,,,garx(gir2)-ašgab
|GIR₃.AB@g.GAL|,GIR3.AB@g.GAL,,NO_ATTESTED_READING,,,anše2-ab4-gal
|GIR₃.BAR|,GIR3.BAR,kišer|šer₁₁,ATTESTED_DIRECT,OSL,,anše2-ba15
|GIR₃.GA₂×PA.A.AN|,GIR3.GA2×PA.A.AN,sakkan₂,ATTESTED_DIRECT,OSL,,anše2-era4-'u4-/dimer/
|GIR₃.GIR₃|,GIR3.GIR3,,NO_ATTESTED_READING,,,anše2-anše2
|GIR₃.ZA@t|,GIR3.ZA@t,girₓ|irgi,ATTESTED_DIRECT,OSL,,anše2-ad4
|GIR₃×AN|,GIR3×AN,šakkanₓ,ATTESTED_DIRECT,OSL,,anše2-/dimer/
|GIR₃×BI|,GIR3×BI,,NO_ATTESTED_READING,,,anše2-be2
|GIR₃×HI|,GIR3×HI,huš,ATTESTED_DIRECT,OSL,,anše2-'i3
|GIR₃×ZA@t|,GIR3×ZA@t,,NO_ATTESTED_READING,,,anše2-ad4
|GIR₃×ŠE|,GIR3×ŠE,,NO_ATTESTED_READING,,,anše2-ašnan2
|GISAL.A.SI|,GISAL.A.SI,,NO_ATTESTED_READING,,,gisal-'u4-hux(si)
|GISAL.A|,GISAL.A,,NO_ATTESTED_READING,,,gisal-'u4
